# D-in-CD2 stopping table for Stage B.
# Source: NIST PSTAR proton stopping in polyethylene, material 221, accessed 2026-07-06.
# Source URL: https://physics.nist.gov/PhysRefData/Star/Text/PSTAR.html
# Method: same-velocity proxy for deuterons, E_p = E_D / 2 in the nonrelativistic MeV range.
# Linear stopping: S_D(E_D) = PSTAR_STOP_t(E_p=E_D/2) * rho_CD2.
# rho_CD2_g_cm3 = 1.06.
# Units: E_MeV is deuteron kinetic energy; S_MeV_cm is linear stopping power.
# NOTE: This is a documented PSTAR-derived entity table, not a SRIM export.
# Exact SRIM G2 closure still requires a SRIM D-in-CD2 output table.
E_MeV,S_MeV_cm
0.002,253.34
0.005,343.016
0.01,458.98
0.02,632.29
0.05,907.996
0.1,1109.82
0.2,1119.36
0.5,761.822
1,493.218
2,306.658
3,228.96
5,156.35
7.5,114.374
10,91.1812
15,65.9108
20,52.2156
30,37.5028
