E_D_MeV,S_placeholder_MeV_cm,S_pstar_same_velocity_MeV_cm,ratio_pstar_over_placeholder
0.002,1270.0000000000002,253.33999999999992,0.19948031496062982
0.005,1270.0000000000002,343.0159999999999,0.27009133858267703
0.01,1270.0000000000002,458.98,0.36140157480314955
0.02,1060.0,632.29,0.5964999999999999
0.05,795.0000000000001,907.9960000000002,1.1421333333333334
0.1,582.9999999999999,1109.8200000000004,1.9036363636363647
0.2,349.9999999999999,1119.3600000000004,3.1981714285714307
0.5,159.0,761.8219999999999,4.791333333333332
1.0,90.0,493.21799999999985,5.480199999999998
2.0,49.800000000000004,306.6580000000001,6.157791164658636
3.0,34.99999999999999,228.95999999999992,6.541714285714285
5.0,23.299999999999997,156.34999999999994,6.710300429184548
7.5,17.0,114.374,6.727882352941176
10.0,13.800000000000002,91.1812,6.607333333333332
15.0,10.4,65.91079999999998,6.337576923076921
20.0,8.5,52.21560000000001,6.143011764705883
30.0,8.5,37.5028,4.412094117647059
