run_id,a0,thickness_um,gate,probe,n_windows,n_macro_total,weight_total,ddn_yield_total,last_window_weight_frac,last_window_ddn_frac,E_yield_weighted_mean_MeV,E_weighted_mean_MeV,E_max_MeV
pic2d_stage1_scan6ps_16x40nm_a0_10_t_1um_20260706_r001,10.0,1.0,Egt0p4,D_rear02,18,6526,1.0389392e+16,283084176296.714,0.00015323322096230462,3.6799888239182115e-05,1.6411469164800372,0.6896199357880785,4.53965333
pic2d_stage1_scan6ps_16x40nm_a0_10_t_2um_20260706_r001,10.0,2.0,Egt0p4,D_rear02,23,28904,4.6015168e+16,315311720429.30005,0.0008995294768890119,0.0007563475632155378,0.5178548701122365,0.4752658832273042,2.76204865
pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4,D_rear02,21,215232,3.42649344e+17,3229145504355.0,0.0005389533154921202,0.0003537441581556001,0.5499408250493506,0.5458875456508838,1.47335637
pic2d_stage1_scan6ps_16x40nm_a0_10_t_3um_20260706_r001,10.0,3.0,Egt0p4,D_rear02,23,236725,3.768662e+17,3541168125707.9,0.0003928609145633119,0.0002797473846859408,0.5485078633859091,0.5454977801401121,1.49577629
pic2d_stage1_scan6ps_16x40nm_a0_15_t_3um_20260706_r001,15.0,3.0,Egt0p4,D_rear02,24,294669,4.69113048e+17,5163313537760.9,0.00022737376513986881,0.00013170781805648527,0.6442133607867798,0.5700092121135376,5.3379727
pic2d_stage1_scan6ps_16x40nm_a0_20_t_3um_20260706_r001,20.0,3.0,Egt0p4,D_rear02,24,350930,5.5868056e+17,10238761464363.701,0.00013962898583763143,4.8947967295099546e-05,1.6831136064538683,0.6428623954494999,14.3159321
pic2d_stage1_scan6ps_16x40nm_a0_10_t_4um_20260706_r001,10.0,4.0,Egt0p4,D_rear02,23,503043,8.00844456e+17,12751923542751.3,0.00043535045711797995,0.0002041067468193462,0.6734988336597175,0.6605760532760241,2.32367028
pic2d_stage1_scan6ps_16x40nm_a0_10_t_1um_20260706_r001,10.0,1.0,Egt0p4,D_rear05,22,10724,1.7072608e+16,342397144577.944,9.324878776575905e-05,2.1692439077304295e-05,1.7355881044356676,0.6147606466947034,5.27939802
pic2d_stage1_scan6ps_16x40nm_a0_10_t_2um_20260706_r001,10.0,2.0,Egt0p4,D_rear05,23,71963,1.14565096e+17,884450412735.8,0.0011116823923405083,0.0008874902668336193,0.5580614205543276,0.5037086638024263,3.50450241
pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4,D_rear05,20,296982,4.72795344e+17,5751046871077.0,0.001239132337986814,0.0007330069916836813,0.6015934497586994,0.5999164916422343,1.56465648
pic2d_stage1_scan6ps_16x40nm_a0_10_t_3um_20260706_r001,10.0,3.0,Egt0p4,D_rear05,22,312299,4.97180008e+17,6227503698573.0,0.0008133231294368538,0.0004374819617729471,0.6088443025815068,0.6064928135088746,1.66114197
pic2d_stage1_scan6ps_16x40nm_a0_15_t_3um_20260706_r001,15.0,3.0,Egt0p4,D_rear05,23,344721,5.48795832e+17,8608524607856.0,0.00047864795008137014,0.00020626901169331044,0.7462701728208976,0.6519031169695407,6.38638946
pic2d_stage1_scan6ps_16x40nm_a0_20_t_3um_20260706_r001,20.0,3.0,Egt0p4,D_rear05,23,373996,5.95401632e+17,15198946971394.0,0.00035829260205991507,9.057752445554686e-05,1.5197704499591527,0.7441526999994467,17.2645812
pic2d_stage1_scan6ps_16x40nm_a0_10_t_4um_20260706_r001,10.0,4.0,Egt0p4,D_rear05,21,558793,8.89598456e+17,19646884690131.0,0.000730145152140417,0.00025477478292089596,0.7602600066812492,0.7551460413593013,2.50176637
pic2d_stage1_scan6ps_16x40nm_a0_10_t_1um_20260706_r001,10.0,1.0,Egt0p4,D_rear10,22,15325,2.43974e+16,395518470932.26996,0.0004567699836867863,0.00013943860376483956,1.7258726861691163,0.5779052370912235,6.01519282
pic2d_stage1_scan6ps_16x40nm_a0_10_t_2um_20260706_r001,10.0,2.0,Egt0p4,D_rear10,22,90244,1.43668448e+17,1367010367807.0,0.002692699791675901,0.0017369651034974697,0.5906647641837427,0.5443322483883138,4.15142182
pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4,D_rear10,18,274144,4.36437248e+17,7507308641969.0,0.0036768997315279562,0.0016590910476718126,0.7043829433271567,0.6813975735903394,2.00066203
pic2d_stage1_scan6ps_16x40nm_a0_10_t_3um_20260706_r001,10.0,3.0,Egt0p4,D_rear10,20,286401,4.55950392e+17,8060022589896.0,0.00222415424527149,0.0009440084828717803,0.71667699307762,0.6877147124836714,2.15669103
pic2d_stage1_scan6ps_16x40nm_a0_15_t_3um_20260706_r001,15.0,3.0,Egt0p4,D_rear10,22,307731,4.89907752e+17,10827494150161.0,0.0014005738778348623,0.00044920951870730655,0.886823003951174,0.7402168735839645,7.39191482
pic2d_stage1_scan6ps_16x40nm_a0_20_t_3um_20260706_r001,20.0,3.0,Egt0p4,D_rear10,23,327699,5.21696808e+17,18174848876445.0,0.0009704027171276079,0.00020100854740722252,1.90949889378127,0.8450095874990038,19.1387348
pic2d_stage1_scan6ps_16x40nm_a0_10_t_4um_20260706_r001,10.0,4.0,Egt0p4,D_rear10,19,468820,7.4636144e+17,24527598032770.0,0.0020626253146196834,0.0005687714590463102,0.9532001741751079,0.882435454742193,2.7593808
pic2d_stage1_scan6ps_16x40nm_a0_10_t_1um_20260706_r001,10.0,1.0,Egt0p4,D_rear15,21,16511,2.6285512e+16,407628864115.0,0.0033916782750893345,0.0012324567917699457,1.7133228963528604,0.5738046128359882,6.3328178
pic2d_stage1_scan6ps_16x40nm_a0_10_t_2um_20260706_r001,10.0,2.0,Egt0p4,D_rear15,21,85875,1.36713e+17,1455145606308.0,0.010014556040756914,0.006087093318086255,0.6168129032087015,0.5672070944175488,4.33359226
pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4,D_rear15,16,227033,3.61436536e+17,7427701420490.0,0.011967423238031476,0.0048306650441036405,0.7801064641993792,0.7284480265215586,2.16919938
pic2d_stage1_scan6ps_16x40nm_a0_10_t_3um_20260706_r001,10.0,3.0,Egt0p4,D_rear15,19,239499,3.81282408e+17,8009048649130.2,0.007661827398026714,0.0029163788326515743,0.7930523142334527,0.7334530798198823,2.22539404
pic2d_stage1_scan6ps_16x40nm_a0_15_t_3um_20260706_r001,15.0,3.0,Egt0p4,D_rear15,22,258308,4.11226336e+17,10752628962138.0,0.004653359555259613,0.001321677800846785,0.9841580337316349,0.7889194840470989,7.68005661
pic2d_stage1_scan6ps_16x40nm_a0_20_t_3um_20260706_r001,20.0,3.0,Egt0p4,D_rear15,22,275992,4.39379264e+17,18116563028980.0,0.003112409055334937,0.0005652722789426675,2.03897720909297,0.9056653511159855,19.8471317
pic2d_stage1_scan6ps_16x40nm_a0_10_t_4um_20260706_r001,10.0,4.0,Egt0p4,D_rear15,18,376164,5.98853088e+17,24166922861920.0,0.006191448410799545,0.001477544972275511,1.10481524660637,0.9554021153032639,3.15602886
pic2d_stage1_scan6ps_16x40nm_a0_10_t_1um_20260706_r001,10.0,1.0,Egt0p4,D_rear20,21,15545,2.474764e+16,389870993685.0,0.018140881312319074,0.006389710836022746,1.7916855679400048,0.5765048337466067,6.51045773
pic2d_stage1_scan6ps_16x40nm_a0_10_t_2um_20260706_r001,10.0,2.0,Egt0p4,D_rear20,20,73948,1.17725216e+17,1363579646259.0,0.03215773246064802,0.019874179674322145,0.6389969087695492,0.585821298918064,4.35204115
pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4,D_rear20,14,181744,2.89336448e+17,6680531867041.0,0.03495025970596003,0.014444508281754713,0.8339894940429512,0.7639947399099336,2.25098533
pic2d_stage1_scan6ps_16x40nm_a0_10_t_3um_20260706_r001,10.0,3.0,Egt0p4,D_rear20,17,196169,3.12301048e+17,7267728964954.0,0.02264374085609857,0.008697102698077854,0.8442947456446801,0.7642075350478668,2.31125684
pic2d_stage1_scan6ps_16x40nm_a0_15_t_3um_20260706_r001,15.0,3.0,Egt0p4,D_rear20,21,214706,3.41811952e+17,9925823709630.0,0.01417286894637318,0.0039752493046716466,1.0561475970344307,0.823099454882919,7.71255859
pic2d_stage1_scan6ps_16x40nm_a0_20_t_3um_20260706_r001,20.0,3.0,Egt0p4,D_rear20,22,232646,3.70372432e+17,17124731534960.0,0.009211419925552126,0.0015583071305685337,2.1804239364361013,0.9505931636434368,20.0435806
pic2d_stage1_scan6ps_16x40nm_a0_10_t_4um_20260706_r001,10.0,4.0,Egt0p4,D_rear20,17,302028,4.80828576e+17,21830259969240.0,0.017918868449282848,0.004328162155335496,1.20357205850395,1.003830354756344,3.41437885
pic2d_stage1_scan6ps_16x40nm_a0_10_t_1um_20260706_r001,10.0,1.0,allE,D_rear02,24,150856,2.40162752e+17,410513677702.39996,0.001637323010022803,0.0003463701289950192,1.1698885362392066,0.19908452756118417,4.53965333
pic2d_stage1_scan6ps_16x40nm_a0_10_t_2um_20260706_r001,10.0,2.0,allE,D_rear02,23,398644,6.34641248e+17,933552402898.0,0.0017133081145081826,0.001145437503755035,0.27501488170192223,0.242412071894412,2.76204865
pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,allE,D_rear02,22,620939,9.88534888e+17,4143423627378.5,0.0016571676122775344,0.0006902438493380592,0.36692197054910874,0.3545150061783927,1.47335637
pic2d_stage1_scan6ps_16x40nm_a0_10_t_3um_20260706_r001,10.0,3.0,allE,D_rear02,23,636034,1.012566128e+18,4476582177449.0,0.0011776100019810262,0.0004811868969704713,0.37053281540755834,0.36439096175777563,1.49577629
pic2d_stage1_scan6ps_16x40nm_a0_15_t_3um_20260706_r001,15.0,3.0,allE,D_rear02,24,650703,1.035919176e+18,6034675120012.0,0.0009512788476463149,0.0002664750388413291,0.4804806749103659,0.40124165658195365,5.3379727
pic2d_stage1_scan6ps_16x40nm_a0_20_t_3um_20260706_r001,20.0,3.0,allE,D_rear02,24,661514,1.053130288e+18,11001095620139.0,0.0007739821077104944,0.00010874969833094531,1.5102854548244684,0.4638698498321592,14.3159321
pic2d_stage1_scan6ps_16x40nm_a0_10_t_4um_20260706_r001,10.0,4.0,allE,D_rear02,23,834224,1.328084608e+18,13611701710475.3,0.001035693051266806,0.0002841525264268329,0.5241879208955895,0.505064391826031,2.32367028
pic2d_stage1_scan6ps_16x40nm_a0_10_t_1um_20260706_r001,10.0,1.0,allE,D_rear05,23,151517,2.41215064e+17,515390065536.50006,0.004923539932812819,0.0007928226111123245,1.2112837129768605,0.2275072947447943,5.27939802
pic2d_stage1_scan6ps_16x40nm_a0_10_t_2um_20260706_r001,10.0,2.0,allE,D_rear05,23,368748,5.87046816e+17,1462374995628.0,0.005090197099374099,0.002028235217962181,0.3573142333992331,0.2894020510249656,3.50450241
pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,allE,D_rear05,20,554707,8.83093544e+17,6406755045578.0,0.004326608461764499,0.0012185136181206532,0.4589748056028766,0.44489665998080236,1.56465648
pic2d_stage1_scan6ps_16x40nm_a0_10_t_3um_20260706_r001,10.0,3.0,allE,D_rear05,22,570343,9.07986056e+17,6882509872208.0,0.0031261889775100245,0.0007586001824832851,0.4728206195213861,0.45242547220904955,1.66114197
pic2d_stage1_scan6ps_16x40nm_a0_15_t_3um_20260706_r001,15.0,3.0,allE,D_rear05,23,582621,9.27532632e+17,9212060262116.0,0.002282787609784062,0.0003891294207813402,0.6327503358733595,0.494264754842891,6.38638946
pic2d_stage1_scan6ps_16x40nm_a0_20_t_3um_20260706_r001,20.0,3.0,allE,D_rear05,23,593515,9.4487588e+17,15749559903231.0,0.0019392938678887645,0.00019059517208377277,1.4269762995618158,0.5667248286905825,17.2645812
pic2d_stage1_scan6ps_16x40nm_a0_10_t_4um_20260706_r001,10.0,4.0,allE,D_rear05,21,733520,1.16776384e+18,20122839935342.0,0.0022794197840549676,0.0003681943958112629,0.6626511356060232,0.6406229809999849,2.50176637
pic2d_stage1_scan6ps_16x40nm_a0_10_t_1um_20260706_r001,10.0,1.0,allE,D_rear10,22,125879,2.00399368e+17,566311036081.0,0.020797750220449798,0.0029720052175696387,1.2539541316007374,0.2600443683267185,6.01519282
pic2d_stage1_scan6ps_16x40nm_a0_10_t_2um_20260706_r001,10.0,2.0,allE,D_rear10,22,290599,4.62633608e+17,1792499340903.0,0.019139776805838973,0.004956887425422388,0.4332242433676831,0.3387977413778368,4.15142182
pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,allE,D_rear10,18,428775,6.826098e+17,7910089274399.0,0.013704157192000466,0.0026831832920890257,0.6137747814712359,0.5328163781250259,2.00066203
