sdf,time_fs,probe,E_min_MeV,n_macro,weight_sum,E_weighted_mean_MeV,E_max_MeV,ddn_yield_sum,ddn_yield_per_weight,run_id,a0,thickness_um,gate
0000.sdf,250.017375,D_rear02,0.4,0.0,0.0,nan,nan,0.0,0.0,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0000.sdf,250.017375,D_rear05,0.4,0.0,0.0,nan,nan,0.0,0.0,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0000.sdf,250.017375,D_rear10,0.4,0.0,0.0,nan,nan,0.0,0.0,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0000.sdf,250.017375,D_rear15,0.4,0.0,0.0,nan,nan,0.0,0.0,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0000.sdf,250.017375,D_rear20,0.4,0.0,0.0,nan,nan,0.0,0.0,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0001.sdf,500.034751,D_rear02,0.4,0.0,0.0,nan,nan,0.0,0.0,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0001.sdf,500.034751,D_rear05,0.4,0.0,0.0,nan,nan,0.0,0.0,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0001.sdf,500.034751,D_rear10,0.4,0.0,0.0,nan,nan,0.0,0.0,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0001.sdf,500.034751,D_rear15,0.4,0.0,0.0,nan,nan,0.0,0.0,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0001.sdf,500.034751,D_rear20,0.4,0.0,0.0,nan,nan,0.0,0.0,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0002.sdf,750.005051,D_rear02,0.4,0.0,0.0,nan,nan,0.0,0.0,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0002.sdf,750.005051,D_rear05,0.4,0.0,0.0,nan,nan,0.0,0.0,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0002.sdf,750.005051,D_rear10,0.4,0.0,0.0,nan,nan,0.0,0.0,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0002.sdf,750.005051,D_rear15,0.4,0.0,0.0,nan,nan,0.0,0.0,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0002.sdf,750.005051,D_rear20,0.4,0.0,0.0,nan,nan,0.0,0.0,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0003.sdf,1000.02243,D_rear02,0.4,341.0,542872000000000.0,0.448047746,0.612059658,2918389416.0,5.375833375e-06,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
