# probe=D_rear10 e_min_MeV=0.4 e_max_MeV=5 bin_width_MeV=0.025 rows_seen=478381 rows_kept=327239 total_D_weight=5.20964488000000000e+17 total_DD_yield_weight=1.66610592628422246e+13
E_low_MeV,E_high_MeV,E_mid_MeV,D_weight_sum,DD_yield_weight_sum
0.4,0.425,0.4125,2.36443839999999960e+16,1.01080083795675964e+11
0.425,0.45,0.4375,2.31062880000000000e+16,1.15006268484606644e+11
0.45,0.475,0.4625,2.28993280000000000e+16,1.31452888574044449e+11
0.475,0.5,0.4875,2.23278000000000000e+16,1.46691602829144928e+11
0.5,0.525,0.5125,2.16782640000000000e+16,1.61545315360856598e+11
0.525,0.55,0.5375,2.14378720000000000e+16,1.79972977752078552e+11
0.55,0.575,0.5625,2.01977040000000000e+16,1.89777236126535583e+11
0.575,0.6,0.5875,1.99238800000000000e+16,2.08519628061342072e+11
0.6,0.625,0.6125,1.89288800000000000e+16,2.19345722502423828e+11
0.625,0.65,0.6375,1.83000400000000000e+16,2.33684865332378510e+11
0.65,0.675,0.6625,1.76282160000000000e+16,2.47074980533389374e+11
0.675,0.7,0.6875,1.67366960000000000e+16,2.56411272155014465e+11
0.7,0.725,0.7125,1.61237760000000000e+16,2.68875257840093323e+11
0.725,0.75,0.7375,1.52656880000000000e+16,2.76407461570938354e+11
0.75,0.775,0.7625,1.46034160000000000e+16,2.85977007900852966e+11
0.775,0.8,0.7875,1.39936800000000000e+16,2.95610531528472290e+11
0.8,0.825,0.8125,1.32629520000000000e+16,3.01399787679530151e+11
0.825,0.85,0.8375,1.26357040000000000e+16,3.08197256172916748e+11
0.85,0.875,0.8625,1.18795040000000000e+16,3.10064337840431580e+11
0.875,0.9,0.8875,1.11328560000000000e+16,3.10487771275424927e+11
0.9,0.925,0.9125,1.05310800000000000e+16,3.13017106909043152e+11
0.925,0.95,0.9375,9.81627199999999800e+15,3.10432346686717896e+11
0.95,0.975,0.9625,9.18743199999999800e+15,3.08507305025284119e+11
0.975,1,0.9875,8.66684800000000000e+15,3.08378391552880981e+11
1,1.025,1.0125,8.17651199999999900e+15,3.07984480039093567e+11
1.025,1.05,1.0375,7.93612000000000000e+15,3.15544276522051025e+11
1.05,1.075,1.0625,7.25792800000000000e+15,3.04634412954638733e+11
1.075,1.1,1.0875,6.89176800000000000e+15,3.04730608684068054e+11
1.1,1.125,1.1125,6.45237600000000000e+15,3.00327430284865601e+11
1.125,1.15,1.1375,6.11805600000000000e+15,2.99071252770801208e+11
1.15,1.175,1.1625,5.39210399999999900e+15,2.76723546858692078e+11
1.175,1.2,1.1875,5.05141600000000000e+15,2.71664141597200439e+11
1.2,1.225,1.2125,4.64545599999999900e+15,2.61613057866674286e+11
1.225,1.25,1.2375,4.37640800000000000e+15,2.57792314795204102e+11
1.25,1.275,1.2625,4.19651200000000000e+15,2.58340131856309998e+11
1.275,1.3,1.2875,3.77303999999999950e+15,2.42517132882710785e+11
1.3,1.325,1.3125,3.56289599999999950e+15,2.38804376123988220e+11
1.325,1.35,1.3375,3.31454399999999950e+15,2.31401821086785919e+11
1.35,1.375,1.3625,3.09644000000000000e+15,2.25038196776602051e+11
1.375,1.4,1.3875,2.79873599999999950e+15,2.11682667494698364e+11
1.4,1.425,1.4125,2.72709599999999950e+15,2.14389657221463135e+11
1.425,1.45,1.4375,2.54242399999999950e+15,2.07610804917365234e+11
1.45,1.475,1.4625,2.29725599999999950e+15,1.94676900498371460e+11
1.475,1.5,1.4875,2.07596799999999975e+15,1.82406913403895233e+11
1.5,1.525,1.5125,1.99000000000000000e+15,1.81212823857451141e+11
1.525,1.55,1.5375,1.88492799999999975e+15,1.77790216656277802e+11
1.55,1.575,1.5625,1.70184800000000000e+15,1.66268719533815308e+11
1.575,1.6,1.5875,1.67796799999999975e+15,1.69537543558174103e+11
1.6,1.625,1.6125,1.51717600000000000e+15,1.58402371245719574e+11
1.625,1.65,1.6375,1.37548799999999975e+15,1.48301932573966278e+11
1.65,1.675,1.6625,1.43120800000000000e+15,1.59472968058322754e+11
1.675,1.7,1.6875,1.19559200000000000e+15,1.37377254957837921e+11
1.7,1.725,1.7125,1.09847999999999988e+15,1.30241909995645798e+11
1.725,1.75,1.7375,1.17648800000000000e+15,1.43834922043374817e+11
1.75,1.775,1.7625,1.02047199999999988e+15,1.28498766090571106e+11
1.775,1.8,1.7875,9.72711999999999875e+14,1.26123796284492874e+11
1.8,1.825,1.8125,9.95000000000000000e+14,1.32883603855201523e+11
1.825,1.85,1.8375,8.32616000000000000e+14,1.14440763233470856e+11
1.85,1.875,1.8625,8.07144000000000000e+14,1.14041192666363312e+11
1.875,1.9,1.8875,7.17991999999999875e+14,1.04320024642527252e+11
1.9,1.925,1.9125,7.14808000000000000e+14,1.06672956870560745e+11
1.925,1.95,1.9375,6.95703999999999875e+14,1.06715768483708771e+11
1.95,1.975,1.9625,6.38391999999999875e+14,1.00511535516495010e+11
1.975,2,1.9875,6.20879999999999875e+14,1.00296152119581039e+11
2,2.025,2.0125,5.79488000000000000e+14,9.60547324265412750e+10
2.025,2.05,2.0375,4.82376000000000000e+14,8.20876065077842255e+10
2.05,2.075,2.0625,4.95111999999999938e+14,8.63415642106895599e+10
2.075,2.1,2.0875,4.80783999999999938e+14,8.58840887922153778e+10
2.1,2.125,2.1125,4.42575999999999938e+14,8.10306446711695099e+10
2.125,2.15,2.1375,4.02776000000000000e+14,7.55342786174273834e+10
2.15,2.175,2.1625,3.90040000000000000e+14,7.49109506303438873e+10
2.175,2.2,2.1875,3.77304000000000000e+14,7.41009135492617188e+10
2.2,2.225,2.2125,3.93223999999999938e+14,7.90589573340033417e+10
2.225,2.25,2.2375,3.88447999999999938e+14,7.98876273320748596e+10
2.25,2.275,2.2625,2.97704000000000000e+14,6.26685320009454727e+10
2.275,2.3,2.2875,3.35912000000000000e+14,7.22409998435406189e+10
2.3,2.325,2.3125,3.04071999999999938e+14,6.67914612628795013e+10
2.325,2.35,2.3375,2.67456000000000000e+14,6.00307813423781433e+10
2.35,2.375,2.3625,2.67455999999999969e+14,6.13891093666837082e+10
2.375,2.4,2.3875,2.46760000000000000e+14,5.78829223381030731e+10
2.4,2.425,2.4125,2.77007999999999969e+14,6.63059411783510513e+10
2.425,2.45,2.4375,2.38800000000000000e+14,5.83766572841155472e+10
2.45,2.475,2.4625,2.22879999999999969e+14,5.55208959351095276e+10
2.475,2.5,2.4875,2.06959999999999969e+14,5.26710745676574631e+10
2.5,2.525,2.5125,1.57607999999999969e+14,4.08771039304890900e+10
2.525,2.55,2.5375,1.78303999999999969e+14,4.71773425629584961e+10
2.55,2.575,2.5625,1.71936000000000000e+14,4.63987164010148010e+10
2.575,2.6,2.5875,1.48056000000000000e+14,4.07051767783670425e+10
2.6,2.625,2.6125,1.46464000000000000e+14,4.10379300789130325e+10
2.625,2.65,2.6375,1.49647999999999969e+14,4.27104073286500397e+10
2.65,2.675,2.6625,1.40096000000000000e+14,4.07597186553697586e+10
2.675,2.7,2.6875,1.14623999999999984e+14,3.39481319918765640e+10
2.7,2.725,2.7125,1.36912000000000000e+14,4.13158054902098999e+10
2.725,2.75,2.7375,1.16216000000000000e+14,3.56777805326072998e+10
2.75,2.775,2.7625,1.16215999999999984e+14,3.63370371139255905e+10
2.775,2.8,2.7875,1.32135999999999984e+14,4.20191519852747574e+10
2.8,2.825,2.8125,1.11440000000000000e+14,3.61081865662894211e+10
2.825,2.85,2.8375,1.13031999999999984e+14,3.72771998514970398e+10
2.85,2.875,2.8625,1.00295999999999984e+14,3.36043621248460312e+10
2.875,2.9,2.8875,7.00479999999999922e+13,2.38888554613217926e+10
2.9,2.925,2.9125,9.87040000000000000e+13,3.41607628797923927e+10
2.925,2.95,2.9375,8.11920000000000000e+13,2.85923885267861137e+10
2.95,2.975,2.9625,7.48239999999999844e+13,2.67808359599658585e+10
2.975,3,2.9875,6.20879999999999922e+13,2.25968096851092644e+10
3,3.025,3.0125,8.75599999999999844e+13,3.23842782379385605e+10
3.025,3.05,3.0375,7.16399999999999844e+13,2.69294771827497330e+10
3.05,3.075,3.0625,7.48239999999999844e+13,2.85473347097877541e+10
3.075,3.1,3.0875,7.16400000000000000e+13,2.77271131692766647e+10
3.1,3.125,3.1125,8.11919999999999844e+13,3.20022994692715874e+10
3.125,3.15,3.1375,7.96000000000000000e+13,3.18469819240730286e+10
3.15,3.175,3.1625,5.73119999999999922e+13,2.32586139056887817e+10
3.175,3.2,3.1875,5.73119999999999922e+13,2.35901325459523621e+10
3.2,3.225,3.2125,5.57199999999999922e+13,2.33147009961053581e+10
3.225,3.25,3.2375,4.93519999999999922e+13,2.09440054337087746e+10
3.25,3.275,3.2625,4.29839999999999922e+13,1.84992582252540398e+10
3.275,3.3,3.2875,4.77599999999999922e+13,2.08527988831413116e+10
3.3,3.325,3.3125,4.29839999999999922e+13,1.90383863598686409e+10
3.325,3.35,3.3375,6.20879999999999922e+13,2.78689359562712860e+10
3.35,3.375,3.3625,3.97999999999999922e+13,1.81734467776626930e+10
3.375,3.4,3.3875,4.77599999999999922e+13,2.20428737422487526e+10
3.4,3.425,3.4125,3.50239999999999961e+13,1.64029191586820812e+10
3.425,3.45,3.4375,3.34319999999999961e+13,1.58662493928147068e+10
3.45,3.475,3.4625,3.34319999999999961e+13,1.60840859615169334e+10
3.475,3.5,3.4875,3.34319999999999961e+13,1.63315127997809334e+10
3.5,3.525,3.5125,2.54719999999999961e+13,1.25832075402232227e+10
3.525,3.55,3.5375,3.50239999999999961e+13,1.75306332413210945e+10
3.55,3.575,3.5625,3.34319999999999961e+13,1.69831479296390095e+10
3.575,3.6,3.5875,2.86559999999999961e+13,1.47097514195670242e+10
3.6,3.625,3.6125,2.70639999999999961e+13,1.40767241821739960e+10
3.625,3.65,3.6375,1.75119999999999980e+13,9.22671127733936310e+09
3.65,3.675,3.6625,2.06959999999999961e+13,1.10641274920774498e+10
3.675,3.7,3.6875,1.91040000000000000e+13,1.03507917639837170e+10
3.7,3.725,3.7125,1.43279999999999980e+13,7.83400357210860538e+09
3.725,3.75,3.7375,1.75119999999999980e+13,9.71269148733745766e+09
3.75,3.775,3.7625,1.27359999999999961e+13,7.15886050441869450e+09
3.775,3.8,3.7875,2.70639999999999961e+13,1.53708883237051773e+10
3.8,3.825,3.8125,2.54719999999999961e+13,1.46415744655721054e+10
3.825,3.85,3.8375,1.59199999999999961e+13,9.26430496982690430e+09
3.85,3.875,3.8625,1.75119999999999980e+13,1.03048194390626469e+10
