library,E_MeV,sigma_b
endfb71_lanl,3.1454,0.0
endfb71_lanl,3.2,0.0009676245
endfb71_lanl,3.3,0.001413716
endfb71_lanl,3.4,0.001850603
endfb71_lanl,3.5,0.002560129
endfb71_lanl,3.6,0.003929718
endfb71_lanl,3.7,0.006054989
endfb71_lanl,3.7172,0.007015849
endfb71_lanl,3.717242,0.007014872
endfb71_lanl,3.8,0.00903156
endfb71_lanl,3.9,0.01905954
endfb71_lanl,4.0,0.03728221
endfb71_lanl,4.1,0.05620991
endfb71_lanl,4.2,0.068353
endfb71_lanl,4.2891,0.07365528
endfb71_lanl,4.289125,0.07365203
endfb71_lanl,4.3,0.07417357
endfb71_lanl,4.4,0.0793017
endfb71_lanl,4.5,0.08399976
endfb71_lanl,4.6,0.0885301
endfb71_lanl,4.7,0.09206139
endfb71_lanl,4.8,0.09448134
endfb71_lanl,4.861,0.09612403
endfb71_lanl,4.861008,0.09612336
endfb71_lanl,4.9,0.09713089
endfb71_lanl,5.0,0.101351
endfb71_lanl,5.1,0.1149802
endfb71_lanl,5.2,0.1418042
endfb71_lanl,5.29564,0.1722087
endfb71_lanl,5.3,0.1770849
endfb71_lanl,5.35,0.201976
endfb71_lanl,5.4,0.216084
endfb71_lanl,5.4329,0.2313538
endfb71_lanl,5.45,0.2400406
endfb71_lanl,5.5,0.2639226
endfb71_lanl,5.55,0.2876988
endfb71_lanl,5.6,0.311475
endfb71_lanl,5.7,0.3468784
endfb71_lanl,5.8,0.366389
endfb71_lanl,5.9,0.3716445
endfb71_lanl,6.0,0.373715
endfb71_lanl,6.0048,0.3737514
endfb71_lanl,6.25,0.3752311
endfb71_lanl,6.5,0.3768816
endfb71_lanl,6.5767,0.3776725
endfb71_lanl,6.75,0.3784501
endfb71_lanl,7.0,0.3797203
endfb71_lanl,7.1485,0.3802925
endfb71_lanl,7.148541,0.3802901
endfb71_lanl,7.25,0.3804757
endfb71_lanl,7.5,0.3805
endfb71_lanl,7.7204,0.3802131
endfb71_lanl,7.720424,0.3802117
endfb71_lanl,7.75,0.3801173
endfb71_lanl,8.0,0.379
endfb71_lanl,8.25,0.377067
endfb71_lanl,8.2923,0.3767331
endfb71_lanl,8.292307,0.3767328
endfb71_lanl,8.29288,0.3767281
endfb71_lanl,8.5,0.375033
endfb71_lanl,8.75,0.3728973
endfb71_lanl,8.8642,0.3718956
endfb71_lanl,8.86786,0.3718622
endfb71_lanl,9.0,0.3706594
endfb71_lanl,9.25,0.3683186
endfb71_lanl,9.4361,0.3665137
endfb71_lanl,9.5,0.3658743
endfb71_lanl,9.75,0.3633259
endfb71_lanl,9.97823,0.3609038
endfb71_lanl,10.0,0.3606727
endfb71_lanl,10.008,0.3605878
endfb71_lanl,10.0695,0.3598955
endfb71_lanl,10.131,0.3592033
endfb71_lanl,10.1925,0.358511
endfb71_lanl,10.254,0.3578187
endfb71_lanl,10.3155,0.3571264
endfb71_lanl,10.377,0.3564341
endfb71_lanl,10.4385,0.3557419
endfb71_lanl,10.5,0.3550496
endfb71_lanl,10.58,0.3540987
endfb71_lanl,10.685,0.352824
endfb71_lanl,10.79,0.3515494
endfb71_lanl,10.895,0.3502747
endfb71_lanl,11.0,0.349
endfb71_lanl,11.152,0.3470964
endfb71_lanl,11.4123,0.343817
endfb71_lanl,11.5,0.3427121
endfb71_lanl,11.612,0.3412498
endfb71_lanl,11.724,0.3397874
endfb71_lanl,11.862,0.3379671
endfb71_lanl,12.0,0.3361468
endfb71_lanl,12.1475,0.3340609
endfb71_lanl,12.295,0.3319749
endfb71_lanl,12.2955,0.3319531
endfb71_lanl,12.39775,0.3304556
endfb71_lanl,12.5,0.3289581
endfb71_lanl,12.5226,0.32859
endfb71_lanl,12.52265,0.3285892
endfb71_lanl,12.69483,0.325785
endfb71_lanl,12.867,0.322981
endfb71_lanl,12.86738,0.322964
endfb71_lanl,13.0,0.3208
endfb71_lanl,13.439,0.3127265
endfb71_lanl,13.43926,0.3127147
endfb71_lanl,13.5,0.3116122
endfb71_lanl,14.0,0.302352
endfb71_lanl,14.011,0.3021555
endfb71_lanl,14.01115,0.3021492
endfb71_lanl,14.5,0.2938782
endfb71_lanl,14.583,0.2923583
endfb71_lanl,14.58303,0.2923571
endfb71_lanl,15.0,0.285022
endfb71_lanl,15.155,0.2818184
endfb71_lanl,15.5,0.2749411
endfb71_lanl,15.727,0.2700987
endfb71_lanl,16.0,0.2644699
endfb71_lanl,16.299,0.2580166
endfb71_lanl,16.5,0.2538153
endfb71_lanl,16.871,0.2459084
endfb71_lanl,17.0,0.24324
endfb71_lanl,17.442,0.2347261
endfb71_lanl,17.44245,0.2347122
endfb71_lanl,17.5,0.2336388
endfb71_lanl,18.0,0.2251399
endfb71_lanl,18.014,0.2249143
endfb71_lanl,18.01433,0.2249058
endfb71_lanl,18.5,0.2172056
endfb71_lanl,18.586,0.2158905
endfb71_lanl,18.58621,0.2158855
endfb71_lanl,19.0,0.20962
endfb71_lanl,19.158,0.2072932
endfb71_lanl,19.1581,0.207291
endfb71_lanl,19.5,0.2022821
endfb71_lanl,19.73,0.1989978
endfb71_lanl,20.0,0.1951517
fendl32,3.1454,0.0
fendl32,3.2,0.0009676245
fendl32,3.3,0.001413716
fendl32,3.4,0.001850603
fendl32,3.5,0.002560129
fendl32,3.6,0.003929718
fendl32,3.7,0.006054989
fendl32,3.7172,0.007015849
fendl32,3.717242,0.007014872
fendl32,3.8,0.00903156
fendl32,3.9,0.01905954
fendl32,4.0,0.03728221
fendl32,4.1,0.05620991
fendl32,4.2,0.068353
fendl32,4.2891,0.07365528
fendl32,4.289125,0.07365203
fendl32,4.3,0.07417357
fendl32,4.4,0.0793017
fendl32,4.5,0.08399976
fendl32,4.6,0.0885301
fendl32,4.7,0.09206139
fendl32,4.8,0.09448134
fendl32,4.861,0.09612403
fendl32,4.861008,0.09612336
fendl32,4.9,0.09713089
fendl32,5.0,0.101351
fendl32,5.1,0.1149802
