sdf,time_fs,probe,n_macro,weight_sum,E_mean_MeV,E_p95_MeV,E_p99_MeV,E_max_MeV,theta_y_mean_deg,theta_y_rms_deg,theta_3d_mean_deg,theta_3d_rms_deg
0000.sdf,250.037344,D_rear05,0,0,nan,nan,nan,nan,nan,nan,nan,nan
0000.sdf,250.037344,D_rear10,0,0,nan,nan,nan,nan,nan,nan,nan,nan
0000.sdf,250.037344,D_rear15,0,0,nan,nan,nan,nan,nan,nan,nan,nan
0000.sdf,250.037344,D_rear20,0,0,nan,nan,nan,nan,nan,nan,nan,nan
0001.sdf,500.0259,D_rear05,0,0,nan,nan,nan,nan,nan,nan,nan,nan
0001.sdf,500.0259,D_rear10,0,0,nan,nan,nan,nan,nan,nan,nan,nan
0001.sdf,500.0259,D_rear15,0,0,nan,nan,nan,nan,nan,nan,nan,nan
0001.sdf,500.0259,D_rear20,0,0,nan,nan,nan,nan,nan,nan,nan,nan
0002.sdf,750.014456,D_rear05,1,2.547200000e+05,1.09469638,1.09469638,1.09469638,1.09469638,-0.707882684,0,2.74892225,0
0002.sdf,750.014456,D_rear10,0,0,nan,nan,nan,nan,nan,nan,nan,nan
0002.sdf,750.014456,D_rear15,0,0,nan,nan,nan,nan,nan,nan,nan,nan
0002.sdf,750.014456,D_rear20,0,0,nan,nan,nan,nan,nan,nan,nan,nan
0003.sdf,1000.00301,D_rear05,511,1.301619200e+08,0.729791301,0.958314933,1.02282455,1.08563938,0.653962506,15.4200973,15.2261998,10.4518476
0003.sdf,1000.00301,D_rear10,0,0,nan,nan,nan,nan,nan,nan,nan,nan
0003.sdf,1000.00301,D_rear15,0,0,nan,nan,nan,nan,nan,nan,nan,nan
0003.sdf,1000.00301,D_rear20,0,0,nan,nan,nan,nan,nan,nan,nan,nan
0004.sdf,1250.04036,D_rear05,6092,1.551754240e+09,0.576022861,0.77807963,0.849964109,0.962531049,0.0982214377,7.4388134,6.73156429,7.79605319
0004.sdf,1250.04036,D_rear10,3,7.641600000e+05,1.26820944,1.30195501,1.30625037,1.30732421,1.53175041,2.1279131,3.50331172,0.749867715
0004.sdf,1250.04036,D_rear15,0,0,nan,nan,nan,nan,nan,nan,nan,nan
0004.sdf,1250.04036,D_rear20,0,0,nan,nan,nan,nan,nan,nan,nan,nan
0005.sdf,1500.02891,D_rear05,17609,4.485364480e+09,0.418058616,0.564003363,0.615351567,0.75363531,-0.0140477421,5.92068759,6.81943825,4.89605057
0005.sdf,1500.02891,D_rear10,156,3.973632000e+07,0.947773133,1.14774809,1.1858155,1.190765,-0.186624427,13.0498866,12.3434684,8.25737103
0005.sdf,1500.02891,D_rear15,0,0,nan,nan,nan,nan,nan,nan,nan,nan
0005.sdf,1500.02891,D_rear20,0,0,nan,nan,nan,nan,nan,nan,nan,nan
0006.sdf,1632.92681,D_rear05,14123,3.597410560e+09,0.32334238,0.458743062,0.500322316,0.595744224,0.021411652,7.08451589,8.69865025,4.85788337
0006.sdf,1632.92681,D_rear10,355,9.042560000e+07,0.830025009,0.991540822,1.05133315,1.09873528,0.152544812,10.3913718,10.5544257,8.21218435
0006.sdf,1632.92681,D_rear15,0,0,nan,nan,nan,nan,nan,nan,nan,nan
0006.sdf,1632.92681,D_rear20,0,0,nan,nan,nan,nan,nan,nan,nan,nan
0007.sdf,1750.01747,D_rear05,20480,5.216665600e+09,0.274873143,0.416292008,0.463500439,0.571172812,-0.00697812825,8.04677605,9.91283144,5.47302223
0007.sdf,1750.01747,D_rear10,1011,2.575219200e+08,0.729843543,0.857095281,0.899211316,0.928394202,0.0837350255,6.4186945,6.87388073,5.94825549
0007.sdf,1750.01747,D_rear15,8,2.037760000e+06,1.26296575,1.33668911,1.3509173,1.35447434,0.58619927,3.35095329,4.83908727,1.65453637
0007.sdf,1750.01747,D_rear20,0,0,nan,nan,nan,nan,nan,nan,nan,nan
0008.sdf,2000.00603,D_rear05,102438,2.609300736e+10,0.230299278,0.364223582,0.42256031,0.569549023,0.040529746,9.36037942,11.4590579,6.53515167
0008.sdf,2000.00603,D_rear10,5645,1.437894400e+09,0.577672289,0.708707145,0.755355601,0.831407324,0.0578027156,5.23269524,5.92769122,4.32605039
0008.sdf,2000.00603,D_rear15,81,2.063232000e+07,1.03192328,1.19150235,1.20531762,1.21542306,0.268947597,6.00294288,8.03965225,3.68408424
0008.sdf,2000.00603,D_rear20,0,0,nan,nan,nan,nan,nan,nan,nan,nan
0009.sdf,2250.04337,D_rear05,269463,6.863761536e+10,0.210024186,0.330829636,0.386744347,0.616253599,-0.0287736838,11.0462408,13.5066665,7.52689194
0009.sdf,2250.04337,D_rear10,10685,2.721683200e+09,0.465069157,0.582042737,0.623157302,0.777256956,-0.0030772522,5.69238659,6.87014039,4.30899656
0009.sdf,2250.04337,D_rear15,514,1.309260800e+08,0.872844629,1.02580327,1.08427841,1.142688,0.268649894,6.70480129,7.77191415,4.71916635
0009.sdf,2250.04337,D_rear20,16,4.075520000e+06,1.24560479,1.33208195,1.36142719,1.3687635,0.278336931,3.67595156,5.49605763,1.97355071
0010.sdf,2500.03193,D_rear05,580777,1.479355174e+11,0.204323061,0.324488884,0.381178304,0.543582645,-0.0208712302,12.2610523,14.7888699,8.58931339
0010.sdf,2500.03193,D_rear10,15500,3.948160000e+09,0.394794625,0.512557049,0.560508542,0.704385121,0.011031256,6.94094615,8.58500175,4.67720243
0010.sdf,2500.03193,D_rear15,2206,5.619123200e+08,0.68883326,0.817048855,0.865290606,0.901881264,0.052466311,5.61408451,6.33180947,4.39647794
0010.sdf,2500.03193,D_rear20,67,1.706624000e+07,1.0641271,1.18655975,1.22646075,1.24129882,-0.104899432,6.29880583,8.29630737,3.60793507
0011.sdf,2750.02048,D_rear05,909489,2.316650381e+11,0.205142191,0.332722297,0.396222905,0.669760164,0.0147886322,13.9652249,16.7185947,9.80482089
0011.sdf,2750.02048,D_rear10,30569,7.786535680e+09,0.354456528,0.485410728,0.548145061,0.697631112,-0.0388656745,7.97878482,10.1059235,4.95904052
0011.sdf,2750.02048,D_rear15,4978,1.267996160e+09,0.560772676,0.679101652,0.719780674,0.806472447,0.121907055,5.51429473,6.47853698,4.18325725
0011.sdf,2750.02048,D_rear20,295,7.514240000e+07,0.941998157,1.07493233,1.10556957,1.12304648,0.746477524,6.28146562,7.83543816,3.98925768
0012.sdf,3000.00904,D_rear05,1250241,3.184613875e+11,0.208325082,0.344154509,0.411702824,0.64070894,-0.0321406249,15.8449112,18.898638,11.013274
