source,metric,rows_seen,rows_pass_gate,total_weight,E_mean_MeV,E_mean_binned_MeV,E_p50_MeV,E_p90_MeV,E_p95_MeV,E_p99_MeV,E_max_seen_MeV,frac_E_gt_0.5_MeV,frac_E_gt_0.6_MeV,frac_E_gt_0.8_MeV,frac_E_gt_1_MeV,frac_E_gt_1.2_MeV,l1,total_variation,js_distance,cosine_similarity
0to3ps,D_weighted,140363,140363,35753263360.0,0.3703245203209393,0.37033114139766177,0.3415869830745071,0.49987471910112363,0.5549454432734036,0.6979689530685923,1.30732421,0.11252253086639641,0.03247294514936273,0.0041463918554034895,0.0005058313088207007,2.137315389383242e-05,,,,
0to3ps,DD_yield_weighted,140363,140363,134546.85060278146,0.4603379907892397,0.4603546499381373,0.4282627378717196,0.6309932059827129,0.7255420037233847,0.9329986320497687,1.30732421,0.31938224187067726,0.1385082821003337,0.03167883398679085,0.005813011332540129,0.00035335448545239476,,,,
3to4ps,D_weighted,2152340,2152340,548244044800.0,0.3053555090117217,0.3053656857187991,0.2835197988305511,0.4388294790166722,0.48527429320351984,0.5705388337153043,0.892392902,0.045895629872603774,0.006449259875298512,1.997825622345912e-05,0.0,0.0,,,,
3to4ps,DD_yield_weighted,2152340,2152340,1313649.1296230333,0.39556475216968057,0.3955643061829001,0.3807068359367399,0.5291589855637336,0.5711391251465388,0.6487008726269234,0.892392902,0.17341285078908503,0.03485252979337952,0.00019505128471858645,0.0,0.0,,,,
0to4ps,D_weighted,2292703,2292703,583997308160.0,0.309333017365135,0.3093429763907493,0.28759907563310094,0.44344994661809967,0.4899721630484214,0.5801361978021977,1.30732421,0.049974636924189485,0.008042472138781167,0.00027260399624373503,3.09678139732883e-05,1.308499181969928e-06,,,,
0to4ps,DD_yield_weighted,2292703,2292703,1448195.9802258147,0.4015826084395518,0.4015837516314227,0.3847378701498744,0.5377582811775597,0.5834640859581277,0.6856896519921133,1.30732421,0.18697435912262672,0.044482825147181035,0.003120100011180065,0.0005400666608600843,3.282893600945696e-05,,,,
0to3ps_vs_0to4ps,D_weighted_shape_distance,,,,,,,,,,,,,,,,0.49361833186291737,0.24680916593145868,0.28552562832201,0.8989672716921966
0to3ps_vs_0to4ps,DD_yield_weighted_shape_distance,,,,,,,,,,,,,,,,0.2883752905058934,0.1441876452529467,0.21121616695262843,0.9732737688066249
3to4ps_fraction_of_0to4ps,D_weighted_total_fraction,,,0.938778376440385,,,,,,,,,,,,,,,,
3to4ps_fraction_of_0to4ps,DD_yield_weighted_total_fraction,,,0.9070934787556849,,,,,,,,,,,,,,,,
