source,metric,rows_seen,rows_pass_gate,total_weight,E_mean_MeV,E_mean_binned_MeV,E_p50_MeV,E_p90_MeV,E_p95_MeV,E_p99_MeV,E_max_seen_MeV,frac_E_gt_0.5_MeV,frac_E_gt_0.6_MeV,frac_E_gt_0.8_MeV,frac_E_gt_1_MeV,frac_E_gt_1.2_MeV,l1,total_variation,js_distance,cosine_similarity
0to3ps,D_weighted,140363,46358,11808309760.0,0.49154781710127704,0.4918633245610252,0.4584551591128255,0.5887512038523276,0.6492089810017272,0.8133521739130437,1.30732421,0.3406963199447776,0.09832175676258682,0.012554467405841494,0.0015315587385133095,6.471374951464688e-05,,,,
0to3ps,DD_yield_weighted,140363,46358,83512.61651362991,0.5385928903491618,0.5387899306556834,0.49365168219024486,0.6947197469000284,0.7929275485525387,0.9838533206811884,1.30732421,0.5145554836632629,0.22315015283900239,0.051037645826788644,0.009365319875756783,0.0005692880327396606,,,,
3to4ps,D_weighted,2152340,393709,100285556480.0,0.4694372954289209,0.46981341549215294,0.4452067105012058,0.5417074781482683,0.5752191240132418,0.6425452054794522,0.892392902,0.2509035861511929,0.03525700453888532,0.00010921772171832495,0.0,0.0,,,,
3to4ps,DD_yield_weighted,2152340,393709,614390.8406856052,0.4891961912710771,0.4894402298982301,0.46546767109858234,0.57516123096757,0.6098108358209834,0.6818204307927657,0.892392902,0.37077968195346467,0.0745193326403483,0.0004170455245011416,0.0,0.0,,,,
0to4ps,D_weighted,2292703,440067,112093866240.0,0.4717664852197643,0.4721362201664747,0.4463504050744207,0.5458677997034335,0.5821662637362639,0.6620430964760254,1.30732421,0.26036262660004045,0.04190043788786708,0.0014202382818979838,0.00016133906882361096,6.817143753110322e-06,,,,
0to4ps,DD_yield_weighted,2292703,440067,697903.4571992351,0.49510710565987004,0.4953455203677157,0.46810416784680603,0.5856068428711968,0.6277242073667668,0.7451682251349255,1.30732421,0.38798420110044796,0.09230481365683363,0.006474414544709096,0.001120674155205216,6.812222044977452e-05,,,,
0to3ps_vs_0to4ps,D_weighted_shape_distance,,,,,,,,,,,,,,,,0.16066738668947433,0.08033369334473717,0.11851114398065232,0.9947281305892377
0to3ps_vs_0to4ps,DD_yield_weighted_shape_distance,,,,,,,,,,,,,,,,0.27634964079893437,0.13817482039946719,0.18601413774034906,0.9854816225751377
3to4ps_fraction_of_0to4ps,D_weighted_total_fraction,,,0.8946569499644372,,,,,,,,,,,,,,,,
3to4ps_fraction_of_0to4ps,DD_yield_weighted_total_fraction,,,0.8803378667175895,,,,,,,,,,,,,,,,
