source,metric,total_weight,E_mean_binned_MeV,E_p50_MeV,E_p90_MeV,E_p95_MeV,E_p99_MeV,frac_E_gt_0.5_MeV,frac_E_gt_0.6_MeV,frac_E_gt_0.8_MeV,frac_E_gt_1_MeV,frac_E_gt_1.2_MeV,l1,total_variation,js_distance,cosine_similarity
0to4ps,D_weighted,112093866239.99988,0.4721362201664745,0.4463504050744206,0.5458677997034331,0.5821662637362631,0.6620430964760216,0.26036262660003984,0.041900437887866356,0.001420238281897706,0.00016133906882361113,6.8171437531103296e-06,,,,
0to4ps,DD_yield_weighted,697903.457199234,0.4953455203677152,0.4681041678468059,0.5856068428711964,0.6277242073667662,0.7451682251349224,0.38798420110044746,0.09230481365683268,0.006474414544708548,0.001120674155205139,6.812222044977468e-05,,,,
4to5ps,D_weighted,196730190080.0,0.46872936624979444,0.44343507097362833,0.540757962648557,0.5755137225378142,0.646454487032362,0.24262661862213347,0.03629753256018405,0.00018515185689185705,0.0,0.0,,,,
4to5ps,DD_yield_weighted,1198730.5881763203,0.4888970644125192,0.46354826957335465,0.5765642723233269,0.6141506540113224,0.6897216802667998,0.36298854729119107,0.07800085767023619,0.00072802406210842,0.0,0.0,,,,
0to5ps,D_weighted,308824056319.9999,0.46996595199957764,0.4444801269712626,0.5426649072024519,0.5780668887857954,0.651245685279186,0.24906425735273469,0.03833121908007687,0.0006334511706473552,5.856124103641852e-05,2.4744186353416274e-06,,,,
0to5ps,DD_yield_weighted,1896634.0453755544,0.4912698994439799,0.4652124115952121,0.5800347534502995,0.6193080313022716,0.7068693353020561,0.37218618520714497,0.08326427702043279,0.0028425204215942034,0.0004123738942778646,2.506689853000721e-05,,,,
0to4ps_vs_0to5ps,D_weighted_shape_distance,,,,,,,,,,,,0.028072191846237892,0.014036095923118946,0.017642584958958072,0.9997313110343851
0to4ps_vs_0to5ps,DD_yield_weighted_shape_distance,,,,,,,,,,,,0.033205508521451044,0.016602754260725522,0.028799473547606782,0.999615529816115
4to5ps_fraction_of_0to5ps,D_weighted_total_fraction,0.6370300048003724,,,,,,,,,,,,,,
4to5ps_fraction_of_0to5ps,DD_yield_weighted_total_fraction,0.6320305127386652,,,,,,,,,,,,,,
