source,metric,total_weight,E_mean_binned_MeV,E_p50_MeV,E_p90_MeV,E_p95_MeV,E_p99_MeV,frac_E_gt_0.5_MeV,frac_E_gt_0.6_MeV,frac_E_gt_0.8_MeV,frac_E_gt_1_MeV,frac_E_gt_1.2_MeV,l1,total_variation,js_distance,cosine_similarity
0to5ps,D_weighted,1941754503679.996,0.28966699085699293,0.267348069293957,0.4274741101439672,0.4759452988419029,0.5664245735402775,0.0396121312422481,0.006096343558140046,0.00010074649479594527,9.313803555354315e-06,3.935409952966613e-07,,,,
0to5ps,DD_yield_weighted,4202239.429052332,0.3910722984367067,0.3757202993605372,0.5286544038349761,0.5736149326664131,0.6633243940847303,0.16798209668921912,0.03758040569243435,0.0012829399888537754,0.00018612037236724138,1.1313665955180404e-05,,,,
5to6ps,D_weighted,1430220450560.0,0.25367334755389837,0.22780833753827645,0.3840406981661106,0.4332091579810284,0.5288346187445407,0.019940967498285358,0.002978874143725067,2.3330892791341848e-05,0.0,0.0,,,,
5to6ps,DD_yield_weighted,2257381.7544407533,0.3608460129893198,0.34356669330114303,0.5009891828493628,0.5480667672818689,0.6401030339673189,0.11509963187535432,0.024899135636558985,0.00035939913622715027,0.0,0.0,,,,
0to6ps,D_weighted,3371974954239.9956,0.2744003161512638,0.25052874222509247,0.4112763440996298,0.4610378585748572,0.5539262917536486,0.03126862304461055,0.004774071426526145,6.791072979710565e-05,5.363361307669077e-06,2.266209003240456e-07,,,,
0to6ps,DD_yield_weighted,6459621.183493086,0.38050940885924817,0.3645324556180346,0.5205352692175934,0.5660729920828397,0.6556906887231728,0.14950176977690316,0.033148804080807184,0.0009601990399684974,0.00012107867398016453,7.359987809420899e-06,,,,
0to5ps_vs_0to6ps,D_weighted_shape_distance,,,,,,,,,,,,0.12288168151431003,0.061440840757155016,0.06514225429267197,0.9919107659533974
0to5ps_vs_0to6ps,DD_yield_weighted_shape_distance,,,,,,,,,,,,0.07701193912878426,0.03850596956439213,0.04251299851990995,0.9974505605801852
5to6ps_fraction_of_0to6ps,D_weighted_total_fraction,0.4241491914883915,,,,,,,,,,,,,,
5to6ps_fraction_of_0to6ps,DD_yield_weighted_total_fraction,0.34946039253962224,,,,,,,,,,,,,,
