gate,span,sdf,window_start_fs,window_end_fs,probe,E_min_MeV,n_macro,weight_sum,E_weighted_mean_MeV,E_max_MeV,ddn_yield_sum,ddn_yield_per_weight
allE,3to4,0013.sdf,3000.04638,3250.04638,D_rear10,0.0,177448,45199554560.0,0.32601681,0.845354965,123503.2872,2.732400537e-06
allE,3to4,0014.sdf,3250.03494,3500.03494,D_rear10,0.0,403642,102815690200.0,0.313151736,0.835256,257869.9823,2.508080058e-06
allE,3to4,0015.sdf,3500.02349,3750.02349,D_rear10,0.0,660688,168290447400.0,0.304724521,0.849156893,400244.3366,2.378295042e-06
allE,3to4,0016.sdf,3750.01205,4000.01205,D_rear10,0.0,910562,231938352600.0,0.298330941,0.892392902,532038.9664,2.29388094e-06
Egt0p4,3to4,0013.sdf,3000.04638,3250.04638,D_rear10,0.4,38615,9836012800.0,0.473246746,0.845354965,61523.84834,6.254958142e-06
Egt0p4,3to4,0014.sdf,3250.03494,3500.03494,D_rear10,0.4,78054,19881914880.0,0.468942098,0.835256,121407.8462,6.106446331e-06
Egt0p4,3to4,0015.sdf,3500.02349,3750.02349,D_rear10,0.4,119057,30326199040.0,0.468462693,0.849156893,184737.4901,6.091679669e-06
Egt0p4,3to4,0016.sdf,3750.01205,4000.01205,D_rear10,0.4,157983,40241429760.0,0.469485297,0.892392902,246723.2022,6.13107446e-06
allE,4to5,0017.sdf,4000.00061,4250.00061,D_rear10,0.0,1133947,288838979800.0,0.292065082,0.943044959,637725.2061,2.207891769e-06
allE,4to5,0018.sdf,4250.03795,4500.03795,D_rear10,0.0,1307198,332969474600.0,0.285817605,0.883171878,702652.2552,2.110260276e-06
allE,4to5,0019.sdf,4500.02651,4750.02651,D_rear10,0.0,1418609,361348084500.0,0.278662078,0.901099847,718186.4573,1.987519758e-06
allE,4to5,0020.sdf,4750.01506,5000.01506,D_rear10,0.0,1470637,374600656600.0,0.271032253,0.887509414,695479.5302,1.856589191e-06
Egt0p4,4to5,0017.sdf,4000.00061,4250.00061,D_rear10,0.4,188164,47929134080.0,0.469944534,0.943044959,294783.3903,6.150400919e-06
Egt0p4,4to5,0018.sdf,4250.03795,4500.03795,D_rear10,0.4,202907,51684471040.0,0.469573119,0.883171878,317189.9093,6.137044705e-06
Egt0p4,4to5,0019.sdf,4500.02651,4750.02651,D_rear10,0.4,198935,50672723200.0,0.467764803,0.901099847,307722.0248,6.072735101e-06
Egt0p4,4to5,0020.sdf,4750.01506,5000.01506,D_rear10,0.4,182333,46443861760.0,0.465890838,0.887509414,279035.2637,6.008011676e-06
allE,5to6,0021.sdf,5000.00362,5250.00362,D_rear10,0.0,1479107,376758135000.0,0.263502771,0.936285327,652660.406,1.732306075e-06
allE,5to6,0022.sdf,5250.04096,5500.04096,D_rear10,0.0,1448264,368901806100.0,0.256433207,0.97846367,597528.6872,1.619749964e-06
allE,5to6,0023.sdf,5500.02952,5750.02952,D_rear10,0.0,1387634,353458132500.0,0.249483458,0.95633157,534801.1839,1.513053838e-06
allE,5to6,0024.sdf,5750.01808,6000.01808,D_rear10,0.0,1299868,331102377000.0,0.243545816,0.862376995,472391.4773,1.426723304e-06
Egt0p4,5to6,0021.sdf,5000.00362,5250.00362,D_rear10,0.4,161216,41064939520.0,0.464846378,0.936285327,245272.8205,5.972803646e-06
Egt0p4,5to6,0022.sdf,5250.04096,5500.04096,D_rear10,0.4,138918,35385192960.0,0.464176827,0.97846367,210566.0315,5.950682018e-06
Egt0p4,5to6,0023.sdf,5500.02952,5750.02952,D_rear10,0.4,117240,29863372800.0,0.463658284,0.95633157,177274.3853,5.936180969e-06
Egt0p4,5to6,0024.sdf,5750.01808,6000.01808,D_rear10,0.4,98311,25041777920.0,0.46438071,0.862376995,149318.695,5.962783293e-06
